,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
464,470666,62,Female,College,White,always,1,,,,,,,,,,1,1
465,470667,72,Female,College,White,sporadic,1,,,,,,,,,,1,1
466,470668,51,Male,Some college,Black,sporadic,1,,,,,,,,,,2,1
467,470670,48,Female,College,White,sporadic,2,,,,,,,,,,1,1
468,470671,72,Female,College,White,always,1,,,,,,,,,,1,1
469,470673,85,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
470,470674,49,Male,High school or less,Hispanic,sporadic,1,,,,,,,,,,1,1
471,470675,62,Male,High school or less,White,rarely/never,1,,,,,,,,,,2,1
472,470676,73,Female,Some college,White,always,1,,,,,,,,,,2,1
473,470678,55,Female,Some college,White,always,1,,,,,,,,,,1,1
474,470679,57,Male,High school or less,White,rarely/never,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2,1
475,470681,81,Female,Some college,White,always,1,,,,,,,,,,1,1
476,470683,75,Male,High school or less,White,always,1,,,,,,,,,,1,2
477,470684,83,Male,Some college,White,always,1,,,,,,,,,,1,2
478,470685,65,Male,Some college,Black,always,1,,,,,,,,,,1,1
479,470687,58,Male,College,White,always,1,,,,,,,,,,1,2
480,470689,61,Male,High school or less,White,sporadic,2,,,,,,,,,,-1,1
481,470691,73,Male,College,Black,always,1,,,,,,,,,,1,1
482,470692,73,Male,College,White,sporadic,1,,,,,,,,,,1,1
483,470694,35,Female,High school or less,White,rarely/never,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
484,470695,37,Female,College,Other/Mixed,rarely/never,4,,,,,,,,,,2,1
485,470696,81,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
486,470698,62,Female,High school or less,White,always,1,,,,,,,,,,1,2
487,470699,68,Female,College,White,sporadic,1,,,,,,,,,,1,1
488,470700,82,Female,College,White,always,1,,,,,,,,,,1,2
489,470701,72,Male,College,White,sporadic,1,,,,,,,,,,2,1
490,470703,56,Male,Some college,Black,always,1,,,,,,,,,,2,1
491,470705,51,Female,College,White,sporadic,1,,,,,,,,,,1,2
492,470706,76,Male,College,Other/Mixed,sporadic,1,,,,,,,,,,2,1
493,470707,72,Female,High school or less,White,always,1,,,,,,,,,,4,1
494,470708,78,Female,College,White,always,1,,,,,,,,,,2,1
495,470711,55,Male,College,White,sporadic,1,,,,,,,,,,1,1
496,470712,74,Male,College,White,always,1,,,,,,,,,,1,1
497,470713,59,Male,College,Black,sporadic,1,,,,,,,,,,2,2
498,470715,49,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
499,470718,62,Male,College,White,always,1,,,,,,,,,,1,1
